MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://www.diablotools.com/product/DCB518ASTS06G,https://www.diablotools.com/specs/DCB518ASTS06G_spec_sheet.pdf,,,,,ROW_1,Tools,Abrasives & Sanding,Sanding Belts,,DCB518ASTS06G,,,,,,Freud Inc,Freud Inc,,DCB518ASTS06G,,Tools>Abrasives & Sanding>Sanding Belts,"Freud Inc DCB518ASTS06G Sanding Belts in Matte Black, Professional Series",FREUD IN DCB518ASTS06G SANDING BELT MATT,Freud Inc DCB518ASTS06G Sanding Belts in Matte Black,"The Freud Inc DCB518ASTS06G is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Freud Inc DCB518ASTS06G is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Freud Inc DCB518ASTS06G is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.",Manufacturer: Freud Inc,Model / MPN: DCB518ASTS06G,Category: Sanding Belts,Finish: Matte Black,Series: Professional Series,,,,,,,,,,,,,,,,,,,,,Sanding Belts,Series,Professional Series,,Material,Brass,,Finish,Matte Black,,Length,16 ft,,Width,5.5 in,,Voltage Rating,120 V,,Wattage,60 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.diablotools.com/assets/DCB518ASTS06G_hero.jpg,,,,,,,,,https://www.diablotools.com/specs/DCB518ASTS06G_spec_sheet.pdf,,,,,,,,,,,,,,,,,,
https://www.jamindustrialsupply.com/product/3MABR-7100075678,https://www.jamindustrialsupply.com/specs/3MABR-7100075678_spec_sheet.pdf,,,,,ROW_2,Tools,Abrasives & Sanding,Sanding Belts,,3MABR-7100075678,,,,,,Jam Industrial Supply,Jam Industrial Supply,,3MABR-7100075678,,Tools>Abrasives & Sanding>Sanding Belts,"Jam Industrial Supply 3MABR-7100075678 Sanding Belts in Matte Black, Professi...",JAM INDU 3MABR-7100075678 SANDING BELT M,Jam Industrial Supply 3MABR-7100075678 Sanding Belts in Matte Black,"The Jam Industrial Supply 3MABR-7100075678 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100075678 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100075678 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.",Manufacturer: Jam Industrial Supply,Model / MPN: 3MABR-7100075678,Category: Sanding Belts,Finish: Matte Black,Series: Professional Series,,,,,,,,,,,,,,,,,,,,,Sanding Belts,Series,Professional Series,,Material,Brass,,Finish,Matte Black,,Length,16 ft,,Width,5.5 in,,Voltage Rating,120 V,,Wattage,60 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.jamindustrialsupply.com/assets/3MABR-7100075678_hero.jpg,,,,,,,,,https://www.jamindustrialsupply.com/specs/3MABR-7100075678_spec_sheet.pdf,,,,,,,,,,,,,,,,,,
https://www.jamindustrialsupply.com/product/3MABR-7100045865,https://www.jamindustrialsupply.com/specs/3MABR-7100045865_spec_sheet.pdf,,,,,ROW_3,Tools,Abrasives & Sanding,Sanding Belts,,3MABR-7100045865,,,,,,Jam Industrial Supply,Jam Industrial Supply,,3MABR-7100045865,,Tools>Abrasives & Sanding>Sanding Belts,"Jam Industrial Supply 3MABR-7100045865 Sanding Belts in Matte Black, Professi...",JAM INDU 3MABR-7100045865 SANDING BELT M,Jam Industrial Supply 3MABR-7100045865 Sanding Belts in Matte Black,"The Jam Industrial Supply 3MABR-7100045865 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100045865 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100045865 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.",Manufacturer: Jam Industrial Supply,Model / MPN: 3MABR-7100045865,Category: Sanding Belts,Finish: Matte Black,Series: Professional Series,,,,,,,,,,,,,,,,,,,,,Sanding Belts,Series,Professional Series,,Material,Brass,,Finish,Matte Black,,Length,16 ft,,Width,5.5 in,,Voltage Rating,120 V,,Wattage,60 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.jamindustrialsupply.com/assets/3MABR-7100045865_hero.jpg,,,,,,,,,https://www.jamindustrialsupply.com/specs/3MABR-7100045865_spec_sheet.pdf,,,,,,,,,,,,,,,,,,
https://www.jamindustrialsupply.com/product/3MABR-7100048736,https://www.jamindustrialsupply.com/specs/3MABR-7100048736_spec_sheet.pdf,,,,,ROW_4,Tools,Abrasives & Sanding,Sanding Belts,,3MABR-7100048736,,,,,,Jam Industrial Supply,Jam Industrial Supply,,3MABR-7100048736,,Tools>Abrasives & Sanding>Sanding Belts,"Jam Industrial Supply 3MABR-7100048736 Sanding Belts in Matte Black, Professi...",JAM INDU 3MABR-7100048736 SANDING BELT M,Jam Industrial Supply 3MABR-7100048736 Sanding Belts in Matte Black,"The Jam Industrial Supply 3MABR-7100048736 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100048736 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100048736 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.",Manufacturer: Jam Industrial Supply,Model / MPN: 3MABR-7100048736,Category: Sanding Belts,Finish: Matte Black,Series: Professional Series,,,,,,,,,,,,,,,,,,,,,Sanding Belts,Series,Professional Series,,Material,Brass,,Finish,Matte Black,,Length,16 ft,,Width,5.5 in,,Voltage Rating,120 V,,Wattage,60 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.jamindustrialsupply.com/assets/3MABR-7100048736_hero.jpg,,,,,,,,,https://www.jamindustrialsupply.com/specs/3MABR-7100048736_spec_sheet.pdf,,,,,,,,,,,,,,,,,,
https://www.jamindustrialsupply.com/product/3MABR-7100075690,https://www.jamindustrialsupply.com/specs/3MABR-7100075690_spec_sheet.pdf,,,,,ROW_5,Tools,Abrasives & Sanding,Sanding Belts,,3MABR-7100075690,,,,,,Jam Industrial Supply,Jam Industrial Supply,,3MABR-7100075690,,Tools>Abrasives & Sanding>Sanding Belts,"Jam Industrial Supply 3MABR-7100075690 Sanding Belts in Matte Black, Professi...",JAM INDU 3MABR-7100075690 SANDING BELT M,Jam Industrial Supply 3MABR-7100075690 Sanding Belts in Matte Black,"The Jam Industrial Supply 3MABR-7100075690 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100075690 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100075690 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.",Manufacturer: Jam Industrial Supply,Model / MPN: 3MABR-7100075690,Category: Sanding Belts,Finish: Matte Black,Series: Professional Series,,,,,,,,,,,,,,,,,,,,,Sanding Belts,Series,Professional Series,,Material,Brass,,Finish,Matte Black,,Length,16 ft,,Width,5.5 in,,Voltage Rating,120 V,,Wattage,60 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.jamindustrialsupply.com/assets/3MABR-7100075690_hero.jpg,,,,,,,,,https://www.jamindustrialsupply.com/specs/3MABR-7100075690_spec_sheet.pdf,,,,,,,,,,,,,,,,,,
https://www.jamindustrialsupply.com/product/3MABR-7100075692,https://www.jamindustrialsupply.com/specs/3MABR-7100075692_spec_sheet.pdf,,,,,ROW_6,Tools,Abrasives & Sanding,Sanding Belts,,3MABR-7100075692,,,,,,Jam Industrial Supply,Jam Industrial Supply,,3MABR-7100075692,,Tools>Abrasives & Sanding>Sanding Belts,"Jam Industrial Supply 3MABR-7100075692 Sanding Belts in Matte Black, Professi...",JAM INDU 3MABR-7100075692 SANDING BELT M,Jam Industrial Supply 3MABR-7100075692 Sanding Belts in Matte Black,"The Jam Industrial Supply 3MABR-7100075692 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100075692 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100075692 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.",Manufacturer: Jam Industrial Supply,Model / MPN: 3MABR-7100075692,Category: Sanding Belts,Finish: Matte Black,Series: Professional Series,,,,,,,,,,,,,,,,,,,,,Sanding Belts,Series,Professional Series,,Material,Brass,,Finish,Matte Black,,Length,16 ft,,Width,5.5 in,,Voltage Rating,120 V,,Wattage,60 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.jamindustrialsupply.com/assets/3MABR-7100075692_hero.jpg,,,,,,,,,https://www.jamindustrialsupply.com/specs/3MABR-7100075692_spec_sheet.pdf,,,,,,,,,,,,,,,,,,
https://www.jamindustrialsupply.com/product/3MABR-7100145365,https://www.jamindustrialsupply.com/specs/3MABR-7100145365_spec_sheet.pdf,,,,,ROW_7,Tools,Abrasives & Sanding,Sanding Belts,,3MABR-7100145365,,,,,,Jam Industrial Supply,Jam Industrial Supply,,3MABR-7100145365,,Tools>Abrasives & Sanding>Sanding Belts,"Jam Industrial Supply 3MABR-7100145365 Sanding Belts in Matte Black, Professi...",JAM INDU 3MABR-7100145365 SANDING BELT M,Jam Industrial Supply 3MABR-7100145365 Sanding Belts in Matte Black,"The Jam Industrial Supply 3MABR-7100145365 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100145365 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Jam Industrial Supply 3MABR-7100145365 is a high-performance sanding belts in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.",Manufacturer: Jam Industrial Supply,Model / MPN: 3MABR-7100145365,Category: Sanding Belts,Finish: Matte Black,Series: Professional Series,,,,,,,,,,,,,,,,,,,,,Sanding Belts,Series,Professional Series,,Material,Brass,,Finish,Matte Black,,Length,16 ft,,Width,5.5 in,,Voltage Rating,120 V,,Wattage,60 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.jamindustrialsupply.com/assets/3MABR-7100145365_hero.jpg,,,,,,,,,https://www.jamindustrialsupply.com/specs/3MABR-7100145365_spec_sheet.pdf,,,,,,,,,,,,,,,,,,
https://www.mirkaabrasives.com/product/5B-332-080,https://www.mirkaabrasives.com/specs/5B-332-080_spec_sheet.pdf,,,,,ROW_8,General Merchandise,Commercial,General Supplies,,5B-332-080,,,,,,Mirka Abrasives,Mirka Abrasives,,5B-332-080,,General Merchandise>Commercial>General Supplies,"Mirka Abrasives 5B-332-080 General Supplies in Matte Black, Professional Series",MIRKA AB 5B-332-080 GENERAL SUPP MATT,Mirka Abrasives 5B-332-080 General Supplies in Matte Black,"The Mirka Abrasives 5B-332-080 is a high-performance general supplies in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Mirka Abrasives 5B-332-080 is a high-performance general supplies in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Mirka Abrasives 5B-332-080 is a high-performance general supplies in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.",Manufacturer: Mirka Abrasives,Model / MPN: 5B-332-080,Category: General Supplies,Finish: Matte Black,Series: Professional Series,,,,,,,,,,,,,,,,,,,,,General Supplies,Series,Professional Series,,Material,Brass,,Finish,Matte Black,,Length,16 ft,,Width,5.5 in,,Voltage Rating,120 V,,Wattage,60 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mirkaabrasives.com/assets/5B-332-080_hero.jpg,,,,,,,,,https://www.mirkaabrasives.com/specs/5B-332-080_spec_sheet.pdf,,,,,,,,,,,,,,,,,,
https://www.mirkaabrasives.com/product/5B-332-120,https://www.mirkaabrasives.com/specs/5B-332-120_spec_sheet.pdf,,,,,ROW_9,General Merchandise,Commercial,General Supplies,,5B-332-120,,,,,,Mirka Abrasives,Mirka Abrasives,,5B-332-120,,General Merchandise>Commercial>General Supplies,"Mirka Abrasives 5B-332-120 General Supplies in Matte Black, Professional Series",MIRKA AB 5B-332-120 GENERAL SUPP MATT,Mirka Abrasives 5B-332-120 General Supplies in Matte Black,"The Mirka Abrasives 5B-332-120 is a high-performance general supplies in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Mirka Abrasives 5B-332-120 is a high-performance general supplies in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Mirka Abrasives 5B-332-120 is a high-performance general supplies in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.",Manufacturer: Mirka Abrasives,Model / MPN: 5B-332-120,Category: General Supplies,Finish: Matte Black,Series: Professional Series,,,,,,,,,,,,,,,,,,,,,General Supplies,Series,Professional Series,,Material,Brass,,Finish,Matte Black,,Length,16 ft,,Width,5.5 in,,Voltage Rating,120 V,,Wattage,60 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mirkaabrasives.com/assets/5B-332-120_hero.jpg,,,,,,,,,https://www.mirkaabrasives.com/specs/5B-332-120_spec_sheet.pdf,,,,,,,,,,,,,,,,,,
https://www.mirkaabrasives.com/product/9A-570-240,https://www.mirkaabrasives.com/specs/9A-570-240_spec_sheet.pdf,,,,,ROW_10,General Merchandise,Commercial,General Supplies,,9A-570-240,,,,,,Mirka Abrasives,Mirka Abrasives,,9A-570-240,,General Merchandise>Commercial>General Supplies,"Mirka Abrasives 9A-570-240 General Supplies in Matte Black, Professional Series",MIRKA AB 9A-570-240 GENERAL SUPP MATT,Mirka Abrasives 9A-570-240 General Supplies in Matte Black,"The Mirka Abrasives 9A-570-240 is a high-performance general supplies in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Mirka Abrasives 9A-570-240 is a high-performance general supplies in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.","The Mirka Abrasives 9A-570-240 is a high-performance general supplies in Matte Black. Engineered for reliability, it features precision craftsmanship, Professional Series.",Manufacturer: Mirka Abrasives,Model / MPN: 9A-570-240,Category: General Supplies,Finish: Matte Black,Series: Professional Series,,,,,,,,,,,,,,,,,,,,,General Supplies,Series,Professional Series,,Material,Brass,,Finish,Matte Black,,Length,16 ft,,Width,5.5 in,,Voltage Rating,120 V,,Wattage,60 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mirkaabrasives.com/assets/9A-570-240_hero.jpg,,,,,,,,,https://www.mirkaabrasives.com/specs/9A-570-240_spec_sheet.pdf,,,,,,,,,,,,,,,,,,
